TEAM SEASON,WIN%,PTS,FG%,FT%,PERSONAL FOULS +/-
2012-13 New York Knicks,0.659,100.0,44.8,75.9,4.2
2012-13 Oklahoma City Thunder,0.732,105.7,48.1,82.8,9.2
2012-13 Orlando Magic,0.244,94.1,44.8,75.5,-7.0
2012-13 Philadelphia 76ers,0.415,93.2,44.4,72.9,-3.3
2012-13 Phoenix Suns,0.305,95.2,44.3,74.4,-6.5
2012-13 Portland Trail Blazers,0.402,97.5,44.8,77.6,-3.2
2012-13 Sacramento Kings,0.341,100.2,44.7,76.9,-4.9
2012-13 San Antonio Spurs,0.7070000000000001,103.0,48.1,79.1,6.4
2012-13 Toronto Raptors,0.415,97.2,44.6,78.8,-1.5
2012-13 Utah Jazz,0.524,98.0,45.4,76.4,-0.1
2012-13 Washington Wizards,0.354,93.2,43.5,73.3,-2.5
2011-12 Atlanta Hawks,0.606,96.6,45.4,74.0,3.4
2011-12 Boston Celtics,0.591,91.8,46.0,77.8,2.5
2011-12 Charlotte Bobcats,0.106,87.0,41.4,74.5,-13.9
2011-12 Chicago Bulls,0.758,96.3,45.2,72.2,8.2
2011-12 Cleveland Cavaliers,0.318,93.0,42.2,71.6,-7.2
2011-12 Dallas Mavericks,0.545,95.8,44.3,77.1,1.0
2011-12 Denver Nuggets,0.5760000000000001,104.1,47.6,73.5,2.9
2011-12 Detroit Pistons,0.379,90.9,43.8,75.2,-4.8
2011-12 Golden State Warriors,0.348,97.8,45.7,77.0,-3.4
2011-12 Houston Rockets,0.515,98.1,44.9,78.2,0.2
2011-12 Indiana Pacers,0.636,97.7,43.8,78.2,3.3
2011-12 Los Angeles Clippers,0.606,97.5,45.5,68.0,2.6
2011-12 Los Angeles Lakers,0.621,97.3,45.7,75.6,1.4
2011-12 Memphis Grizzlies,0.621,95.0,44.7,75.9,2.0
2011-12 Miami Heat,0.6970000000000001,98.5,46.9,77.5,6.0
2011-12 Milwaukee Bucks,0.47,99.0,44.3,77.4,0.3
2011-12 Minnesota Timberwolves,0.394,97.9,43.3,77.1,-2.2
2011-12 New Jersey Nets,0.333,93.1,42.5,77.7,-6.0
2011-12 New Orleans Hornets,0.318,89.6,45.1,75.7,-3.8
2011-12 New York Knicks,0.545,97.8,44.3,74.1,3.2
2011-12 Oklahoma City Thunder,0.7120000000000001,103.1,47.1,80.6,6.1
2011-12 Orlando Magic,0.561,94.2,44.1,66.0,0.8
2011-12 Philadelphia 76ers,0.53,93.6,44.8,74.2,4.2
2011-12 Phoenix Suns,0.5,98.4,45.8,75.7,-0.2
2011-12 Portland Trail Blazers,0.424,97.2,44.3,79.6,-0.6
2011-12 Sacramento Kings,0.333,98.8,43.6,73.6,-5.7
2011-12 San Antonio Spurs,0.758,103.7,47.8,74.8,7.2
2011-12 Toronto Raptors,0.348,90.7,44.0,77.0,-3.3
2011-12 Utah Jazz,0.545,99.7,45.6,75.4,0.6
2011-12 Washington Wizards,0.303,93.6,44.1,72.7,-4.8
2010-11 Atlanta Hawks,0.537,95.0,46.2,77.9,-0.8
2010-11 Boston Celtics,0.6829999999999999,96.5,48.6,77.0,5.4
2010-11 Charlotte Bobcats,0.415,93.3,45.1,75.6,-4.0
2010-11 Chicago Bulls,0.7559999999999999,98.6,46.2,74.3,7.3
2010-11 Cleveland Cavaliers,0.232,95.5,43.4,74.5,-9.0
2010-11 Dallas Mavericks,0.695,100.2,47.5,77.7,4.2
2010-11 Denver Nuggets,0.61,107.5,47.6,76.5,4.8
2010-11 Detroit Pistons,0.366,97.0,46.0,73.7,-3.6
2010-11 Golden State Warriors,0.439,103.4,46.1,76.1,-2.3
2010-11 Houston Rockets,0.524,105.9,45.4,80.1,2.2
2010-11 Indiana Pacers,0.451,99.8,44.2,78.2,-1.1
2010-11 Los Angeles Clippers,0.39,98.6,45.7,70.7,-3.1
2010-11 Los Angeles Lakers,0.695,101.5,46.3,77.9,6.1
2010-11 Memphis Grizzlies,0.561,99.9,47.1,75.0,2.3
2010-11 Miami Heat,0.7070000000000001,102.1,48.1,76.9,7.5
